1985	Mass shooting	Ras Burqa, Egypt
1985	Hijacking	// Mediterranean Sea
1985	Shooting	Armenia, Colombia
1985	Massacre	Toribío, Cauca, Colombia
1985	Siege, shootout	Bogota, Colombia
1985	Hijacking	/ Luqa, Malta
1985	Shootings, grenade	/ Rome, Italy Vienna, Austria
1986	Bombing	Valparaiso, Chile
1986	Bombing	Santiago, Chile
1986	Land mine	Serunuwara, Sri Lanka
1986	Shooting	Santiago, Chile
1986	Shooting	Córdoba, Colombia
1986	Car bombing	Damascus, Syria
1986	Ambush	Cauca Department, Colombia
1986	Car bombing	Melbourne, Australia
1986	Bombing	Argos, Greece
1986	Bombing	West Berlin, West Germany
1986	Car bombings	Damascus, Syria
1986	Ambush	Santiago, Chile
1986	Attempted bombing	London, United Kingdom
1986	Bombing	Katunayake, Sri Lanka
1986	Ambush	Antioquia, Colombia
1986	Armed Attack	Valle del Cauca Department, Colombia
1986	Shooting	Santiago, Chile
1986	Bombing	Santiago, Chile
1986	Car bombing	Madrid, Spain
1986	Bombing	Santiago, Chile
1986	Car Bombing	Santiago, Chile
1986	Ambush	Santander Department, Colombia
1986	Shooting	Cali, Colombia
1986	Hijacking, hostage-taking	Karachi, Pakistan
1986	Mass shooting	Istanbul, Turkey
1986	Shooting	Cajón del Maipo, Chile
1986	Assassination	Paris France
1986	Bombing	Melbourne, Australia
1986	Hijacking, grenade	Arar, Saudi Arabia
1986	Arson	San Juan, Puerto Rico
1987	Shooting	Santiago, Chile
1987	Shooting	Santander Department, Colombia
1987	Massacre	North Central Province, Sri Lanka
1987	Car bombing	Colombo, Sri Lanka
1987	Bombing	Athens, Greece
1987	Massacre	Ampara District, Sri Lanka
1987	Shooting	Apure State, Venezuela
1987	Car bombing	Barcelona, Spain
1987	Massacre	Haryana, India
1987	Massacre	Haryana, India
1987	Grenades	Sri Jayawardenepura Kotte, Sri Lanka
1987	Roadside Bombing	Tame, Arauca, Colombia
1987	Assassination,Shooting	Cundinamarca Department, Colombia
1987	Bombing	Enniskillen, Northern Ireland
1987	Car bombing	Zaragoza, Spain
1987	Massacre	Kathankadu, Sri Lanka
1988	Ambush	Santander Department, Colombia
1988	Assassination	Cordoba Department,Colombia
1988	Car bombing	Oshakati, South-West Africa
1988	Shooting, hijacking	Aroer, Israel
1988	Ambush	Norte de Santander Department, Colombia
1988	Massacre	Belfast, Northern Ireland
1988	Shooting, stabbing, beating	Belfast, Northern Ireland
1988	Hostage-taking	Ouvéa, New Caledonia
1988	Massacre,Shooting	Cesar Department, and Santander Department, Colombia
1988	Bombing	Cannes, France
1988	Clashes	Urabá, Colombia
1988	Shootdown	Northern Ireland
1988	Car bombing	Lisburn, Northern Ireland
1988	Mass shooting	Athens, Greece
1988	Clashes, Shooting	Antioquia Department, Colombia
1988	Bombing	Ballygawley, County Tyrone, Northern Ireland
1988	Shooting, Clash	Tierralta, Colombia
1988	Kidnapping	Bolivar Department, Colombia
1988	Shooting	
1988	Ambush	Antioquia Department, Colombia
1988	Shooting	Pretoria, South Africa
1988	Hijacking	Vladikavkaz, USSR
1988	Bombings	Cagnes-sur-Mer, France
1988	Shooting	Supia, Colombia
1988	Ambush	Guaviare, Colombia
1988	Bombing	Lockerbie, Scotland
1989	Massacre	Simacota, Colombia
1989	Shooting	Tegucigalpa, Honduras
1989	Bombings	Tern Hill, United Kingdom
1989	Shooting, Clash	Buenos Aires, Argentine
1989	Firebombing	New York City, United States
1989	Assassination	Bogota, Colombia
1989	Stabbing	Tel Aviv, Israel
1989	Shooting	Cordoba Department, Colombia
1989	Attempted bombing	Oslo, Norway
1989	Assassination	La Paz, Bolivia
1989	Bombing, attempted assassination	 Colombia
1989	Bombing, assassination	Medellin, Colombia
1989	Bioattack	Southern California, United States
1989	Hijacking	Kiryat Ye'arim, Israel
1989	Assassination	Bogota, Colombia
1989	Bombings, arson	Medellin, Colombia
1989	Bombing	Medellin, Colombia
1989	Shooting	Medellin, Colombia
1989	Bombings	Cali, Colombia
1989	Bombing	 France/ Ténéré, Niger
1989	Bombing	Cartagena, Colombia
1989	Bombing	Bogotá, Colombia
1989	Bombing	Bogotá, Colombia
1989	Firebombing	Bogotá, Colombia
1989	Car bombing	Bucaramanga, Colombia
1989	Bombing	Bogotá, Colombia
1989	Bombing	Barranquilla, Colombia
1989	Shoot down	Cordoba Department, Colombia
1989	Bombing	Soacha, Colombia
1989	Bombing, assassination	Bad Homburg vor der Höhe, Germany
1989	Truck bombing	Bogotá, Colombia
1989	Kidnapping	Nowgam, India
1990	Shooting, Raid	Cordoba Department, Colombia
1990	Shooting	Segovia, Colombia
1990	Shooting	Trujillo, Colombia
1990	Car bombing	Pereira, Colombia
1990	Car bombings	Bogotá, Colombia
1990	Bombing	London, United Kingdom
1990	Assassination	Bogota, Colombia
1990	Ambush	Trujillo, Colombia
1990	Massacre	Trujillo, Colombia
1990	Shooting	Norte de Santander, Colombia
1990	Assassination	Bogota, Colombia
1990	Ambush, Shooting	San Vicente, Colombia
1990	Massacre	Eastern Province, Sri Lanka
1990	Bombing	London, United Kingdom
1990	Assassination, bombing	Pevensey, United Kingdom
1990	Massacre	Kattankudy, Sri Lanka
1990	Bombing	Khanlar, Azerbaijan
1990	Ambush, Shooting	Carchi Province, Ecuador
1990	assassination	New York, United States
1990	Bombing	Sabadell, Spain
1990	Shooting,Clashes	Meta, Colombia
1990	Bombing	Medellín, Colombia
1991	Bombing	La Dorada, Caldas, Colombia
1991	Shooting	Cerro Girasoles, Meta Department, Colombia
1991	Ambush	Tibú, Colombia
1991	Mortar	London, United Kingdom
1991	Bombing	London, United Kingdom
1991	Shooting	Amazonas State, Brazil
1991	Bombing	Colombo, Sri Lanka
1991	Shooting, Kidnapping	Antioquia Department, Colombia
1991	Hijacking	Singapore
1991	Shooting	San Pablo, Bolívar, Colombia
1991	Bombing	Colombia
1991	Suicide bombing, assassination	Sriperumbudur, India
1991	Shooting	Sardinata, Colombia
1991	Car bombing	Vic, Spain
1991	Bombing	Dagestan, Soviet Union
1991	Massacre	Ludhiana district, India
1991	Shooting	Sucre, Colombia
1991	Suicide car bombing	Colombo, Sri Lanka
1991	Attempted Arrack	Santa Rosa de Simití, Colombia
1991	Car bombing	Mutxamel, Spain
1991	Plot	Toronto, Ontario, Canada
1991	Massacre	Palliyagodella, Sri Lanka
1991	Bombings	Rudrapur, India
1991	Shooting	Putumayo District, Colombia
1991	Bombing	Budapest, Hungary
1991	Massacre	Punjab, India
1992	Bombings	Ürümqi, China
1992	Mass shooting	Belfast, Northern Ireland
1992	Car bombing	Madrid, Spain
1992	Melee attack	Gal'ed, Israel
1992	Shooting	Puerto Berrío, Colombia
1992	Bombing	Istanbul, Turkey
1992	Suicide car bombing	/ Buenos Aires, Argentina
1992	Truck bombing	London, United Kingdom
1992	Shooting	Huila Department, Colombia
1992	Bombings	Taipei and Kaohsiung, Taiwan
1992	Massacres	Polonnaruwa District, Sri Lanka
1992	Melee attack	Bat Yam, Israel
1992	Massacre	Meta Department, Colombia
1992	Truck Bombing	Jesus María District Lima, Peru
1992	Truck bombings	Lima, Peru
1992	Land mine	Jaffna, Sri Lanka
1992	Bombing	Medellin, Colombia
1992	Massacre	Medellín, Colombia
1992	Suicide bombing, assassination	Colombo, Sri Lanka
1992	Shooting	Geneva, Valle del Cauca Department, Colombia
